Set Size,Highest Value
256,9990
235,9987
202,9974
214,9992
233,9952
203,9995
275,9986
263,9916
237,9978
221,9888
211,9998
245,9985
239,9912
233,9994
207,9893
231,9999
226,9927
252,9981
252,9965
230,9814
217,9970
225,9997
237,9975
238,9996
235,9944
229,9962
226,9946
237,9980
213,9982
234,9873
230,9902
244,9925
245,9993
236,9929
228,9931
233,9955
228,9966
244,9947
226,9794
272,9973
235,9942
195,9691
228,10000

219,9914
235,9887
225,9952
218,9981
240,9980
253,9845
230,9997
238,9905
259,9991
220,9979
225,9999
245,9967
219,9985
234,10000
235,9960
211,9831
236,9992
222,9977
226,9987
230,9982
257,9971
233,9986
207,9834
218,9957
236,9942
241,9998
205,9924
217,9993
238,9966
248,9901
233,9974
233,9951
240,9950
224,9923
225,9995
255,9972
234,9949
263,9969
203,9990
264,9970
239,9983
238,9962
229,9994

239,9960
229,9988
213,9934
233,9985
220,9938
217,9679
237,9942
265,9992
235,9986
223,9993
226,9912
216,9999
229,9974
230,9978
232,9936
225,9911
238,9953
223,9981
225,9913
237,9963
253,9994
237,9990
241,9987
215,9928
253,9962
245,9980
215,9984
218,9869
232,9969
242,9964
234,9943
249,9996
215,9998
272,9982
225,9890
261,9976
222,9875
216,9926
233,9997
255,10000
231,9922
215,9954
229,9932

224,9962
215,9974
234,9911
252,9995
244,9964
229,9976
221,9842
231,9885
246,9993
232,9917
224,9992
228,9893
230,9999
231,9946
251,9944
245,9888
241,9861
254,9982
231,9991
232,9990
243,9980
227,9988
235,9994
247,9983
228,9985
240,9901
226,9960
246,9963
235,9986
212,9989
259,9975
215,9987
226,9719
236,9947
230,10000
233,9971
229,9869
228,9981
204,9996
214,9997
224,9973
230,9978
238,9998

222,9923
252,9983
234,9986
215,9958
223,9959
231,9978
224,9946
245,9976
262,9926
242,9954
245,9937
257,9985
214,9962
235,9997
236,9989
202,9967
211,9969
220,9994
250,9975
196,9980
227,9981
195,9979
231,9977
220,9973
244,9982
223,9960
229,9998
255,9911
204,10000
231,9999
238,9955
235,9872
276,9928
232,9993
227,9963
255,9961
221,9841
236,9948
258,9974
241,9952
234,9996
233,9991
239,9995

241,9982
230,9970
240,9971
230,9937
228,9944
258,9874
233,9922
243,9963
243,9980
248,9877
236,9938
238,9956
252,9992
223,9936
264,9967
223,9987
236,9975
221,9976
233,9965
208,9969
221,9997
213,9859
233,9986
215,9972
224,9993
249,9966
224,9991
217,9951
200,9940
222,9974
212,9979
240,9921
219,9981
238,9998
221,9978
269,9983
252,9994
231,9931
248,9995
242,10000
227,9996
240,9988
215,9960

210,10000
236,9989
229,9879
247,9997
246,9956
237,9961
209,9937
223,9984
240,9970
241,9994
233,9992
215,9973
230,9986
245,9902
213,9999
221,9885
222,9991
240,9882
218,9996
205,9987
222,9960
237,9916
225,9980
248,9861
228,9978
242,9952
222,9969
231,9904
257,9934
205,9993
231,9971
255,9985
241,9988
231,9998
238,9995
219,9955
248,9953
247,9981
229,9979
220,9867
262,9924
247,9959
255,9982

218,9996
241,9923
246,9962
229,9936
212,9995
247,9961
255,9993
239,9980
228,9927
230,9981
223,9917
224,9999
249,9992
235,9990
247,9867
229,9986
223,10000
233,9946
253,9919
221,9988
211,9960
236,9997
253,9947
248,9970
246,9987
223,9965
232,9903
219,9969
220,9972
227,9964
218,9938
202,9985
251,9989
246,9991
221,9930
265,9942
213,9933
200,9998
235,9912
251,9975
248,9979
217,9765
236,9994

246,9974
239,9991
223,9893
227,9956
216,9983
266,9996
242,9976
237,9998
224,9968
223,9986
221,9985
233,9982
225,9950
262,9953
243,9960
212,9987
224,9994
275,9981
230,9999
230,9958
238,9938
234,9997
236,9864
244,9796
223,9984
239,9979
216,9972
205,9965
245,9975
249,9993
215,9980
247,9946
214,9889
238,9967
216,9921
210,9877
247,9978
225,9992
210,9989
230,9995
245,9781
246,9926
230,10000

216,9977
225,9873
227,9973
230,9986
235,9950
262,9998
238,9982
230,9996
253,9966
224,9997
208,9961
242,9908
226,9898
205,9995
243,9968
232,9895
250,9943
237,10000
223,9945
228,9993
218,9989
259,9980
240,9930
236,9984
223,9976
239,9946
241,9947
229,9970
251,9991
247,9985
237,9919
233,9964
253,9990
246,9960
233,9885
246,9967
204,9956
226,9983
195,9999
214,9988
252,9992
217,9948
227,9959

224,9940
222,9995
239,9980
226,9939
246,9943
225,9981
219,9902
235,9998
231,9882
212,9918
206,9983
211,9904
259,9988
242,9957
247,9956
251,9997
252,9982
231,9992
225,9932
280,9973
231,9999
254,9964
228,9945
243,9977
206,9979
213,9953
240,9897
227,9993
238,9978
225,9984
211,9891
220,9996
225,9848
239,9934
235,10000
236,9994
235,9967
250,9828
230,9991
219,9941
241,9959
225,9899
246,9976

235,9982
219,9994
219,9885
246,9946
238,9992
233,9998
244,9756
237,9972
228,9983
245,9916
223,9860
237,9922
219,9986
236,9988
247,9984
196,9862
222,9910
225,9985
226,9990
235,9974
249,9958
211,9925
224,9979
225,9943
231,9975
220,9947
247,9996
257,9904
256,9999
195,10000
207,9909
217,9981
243,9973
240,9977
243,9987
251,9950
249,9929
233,9993
268,9980
239,9995
235,9963
224,9953
226,9962

240,9872
267,9977
235,9880
237,9996
249,9999
242,9950
237,9969
218,9992
240,9980
223,9998
207,9943
214,9986
231,9957
224,9991
226,9993
241,9958
222,9970
241,9930
227,9985
206,9981
246,9964
233,9978
232,9995
221,9974
258,9946
257,9956
238,9951
224,9983
240,9960
231,9982
227,9984
211,9997
234,9979
246,9860
238,9935
218,9975
240,9971
234,9989
237,9955
235,9972
205,10000
254,9990
214,9867

204,9974
223,9886
224,9948
227,9956
236,9939
222,9903
226,9994
260,9946
250,9999
250,9976
228,9987
243,9993
259,9955
225,9971
210,9995
227,9981
243,9951
246,9992
244,9998
216,9980
216,9977
249,9979
233,9924
241,9914
234,9991
241,9896
234,9986
245,9917
224,9900
252,9996
243,10000
252,9978
214,9952
239,9945
