Set Size,Highest Value
6,97
6,88
5,100
7,83
5,98
3,99
8,84
3,91
8,95
3,58
6,89
3,61
7,85
5,75
3,54
8,87
5,96
4,65
5,94

6,93
3,86
6,100
6,91
4,84
4,73
5,99
5,70
6,92
4,76
4,37
6,95
10,71
6,74
5,97
6,98
5,57
6,87
3,58

7,83
7,99
6,86
6,89
6,88
5,100
6,98
5,85
5,71
6,97
4,92
4,95
6,84
5,94
4,87
5,79
3,82
6,91
4,81

4,78
8,91
4,87
4,98
10,96
7,95
3,61
6,94
7,100
4,99
5,81
4,93
5,86
6,88
6,74
4,75
3,70
7,92
3,58

4,80
5,100
9,97
7,73
8,98
4,96
4,87
3,88
6,62
6,95
5,89
5,64
5,93
6,83
6,91
6,86
3,82
4,90
4,69

5,80
9,83
5,96
4,100
7,60
3,70
6,91
5,98
4,75
6,90
4,92
4,71
3,95
6,87
6,99
6,89
5,97
8,94
4,86

5,82
6,95
5,74
7,40
7,94
4,90
5,100
6,98
8,70
7,99
6,84
5,86
4,97
3,92
4,68
5,77
7,93
3,32
3,80

8,96
5,92
6,87
5,94
6,91
4,76
5,95
6,98
5,99
4,77
5,83
6,100
3,51
7,90
6,89
4,88
6,82
4,80
5,84

6,81
8,96
7,71
4,88
6,92
4,35
4,97
4,98
6,73
4,95
4,75
5,87
6,85
6,89
7,83
6,55
5,82
4,100
4,63

6,88
3,63
6,79
6,99
8,97
4,91
7,83
4,93
3,89
8,87
6,55
5,100
8,82
6,98
4,96
4,76
4,86
4,85
4,80

3,53
4,77
4,93
7,96
4,66
7,76
6,85
4,92
5,88
4,89
8,95
5,94
6,70
4,100
6,81
7,97
5,99
3,87
8,86

4,68
5,98
6,94
4,91
7,53
3,85
7,92
4,42
5,77
8,100
5,79
6,99
5,63
5,90
4,76
7,93
6,83
4,74
5,87

5,77
4,85
6,97
5,81
7,79
5,90
6,62
6,89
5,74
5,91
6,95
6,98
5,99
5,60
6,100
6,92
3,51
4,59
5,71

6,74
4,67
5,92
5,96
8,83
4,85
7,99
5,87
4,88
6,79
5,82
4,75
4,97
7,95
5,93
8,98
5,66
5,100
3,78

5,97
3,61
6,92
4,98
5,85
5,99
6,94
7,95
3,71
5,83
6,88
9,72
5,90
8,100
5,86
6,50
3,79
5,96
4,68

7,84
6,64
6,97
5,91
4,100
4,98
4,85
6,96
8,81
4,78
4,94
6,80
6,92
7,95
7,73
3,57
5,99
4,70
4,58

4,49
7,94
4,82
4,96
5,93
7,84
5,91
5,63
3,67
4,100
4,87
6,97
6,92
9,90
7,98
6,99
6,77
5,86
3,75

8,98
4,81
6,93
5,82
3,99
3,89
7,78
4,95
4,72
4,58
6,62
6,84
6,87
8,97
5,96
4,88
6,83
5,94
6,100

7,94
4,76
8,81
5,91
4,88
6,98
5,96
4,78
3,77
3,40
6,99
4,97
5,87
6,67
5,90
7,79
5,93
8,100
5,70

4,61
7,98
5,82
6,54
3,57
3,84
7,93
6,96
4,89
8,94
6,95
6,100
4,41
6,99
3,77
6,90
5,66
6,75
5,86

5,59
9,95
4,93
3,53
3,72
8,89
4,84
6,100
4,98
7,96
6,87
4,79
6,85
7,97
4,68
4,77
5,90
5,71
6,94

3,84
5,93
4,56
5,94
3,91
6,99
8,96
4,88
8,68
7,77
5,80
5,97
4,100
5,73
6,81
3,98
8,90
6,92
5,82

8,80
4,58
8,95
6,97
5,94
4,92
4,70
5,77
4,91
7,100
5,86
4,89
7,90
6,98
5,96
4,93
4,84
5,87
5,81

6,89
5,88
4,38
5,86
6,100
7,81
5,95
4,73
3,25
7,87
4,94
4,98
5,99
4,74
6,93
6,91
7,90
4,58
8,71

6,97
5,83
5,96
4,85
5,71
5,95
8,80
5,100
5,82
4,50
7,98
5,61
3,87
7,81
3,99
3,88
5,79
7,92
8,91

6,89
6,97
5,73
5,100
5,80
7,99
5,83
4,95
4,93
3,75
5,57
7,90
6,85
7,94
5,76
5,77
4,91
7,92
4,70

4,87
4,80
6,56
7,83
5,98
8,84
4,63
7,92
7,99
4,96
5,95
4,59
4,90
4,82
5,100
5,78
5,85
5,93
7,89

5,90
4,73
4,100
3,89
5,79
7,75
6,96
6,59
3,50
7,81
4,92
5,67
7,87
7,98
5,93
6,99
8,95
3,94
5,60

4,87
7,97
4,95
5,78
4,91
6,70
6,98
5,73
5,68
4,94
5,82
4,61
8,99
7,92
5,89
6,96
5,100
5,88
5,75

5,89
8,95
5,71
3,28
5,88
6,82
5,38
3,50
6,74
4,93
5,92
5,96
6,87
5,99
6,68
5,83
6,59
5,94
7,100

5,78
8,63
4,86
5,72
5,87
7,96
4,98
6,100
5,94
6,90
6,92
4,49
5,97
6,99
6,89
3,88
5,95
4,82
6,81

3,100
4,96
8,95
3,88
5,79
4,93
7,92
7,72
5,75
4,85
4,86
5,91
6,98
4,94
7,99
5,64
4,87
5,97
10,77

5,89
6,96
5,88
4,84
8,95
4,90
10,100
6,72
4,82
4,79
4,93
5,98
4,97
5,99
5,47
5,80
5,57
7,91
4,73

8,98
10,96
4,66
4,80
5,70
4,90
6,72
5,39
5,97
7,81
5,88
6,85
3,94
4,95
5,99
4,87
4,71
6,100
5,79

5,96
6,95
3,98
5,66
5,79
4,89
7,100
6,81
5,80
3,77
6,75
5,85
4,53
8,93
5,91
4,94
6,99
7,83
6,69

6,83
5,81
5,95
5,72
7,98
5,92
3,97
5,54
7,84
5,69
6,96
5,93
6,100
5,80
5,91
5,53
6,99
6,88
3,73

6,95
7,98
7,77
4,64
4,96
6,69
5,99
3,87
7,88
6,100
5,90
3,57
5,84
4,76
8,97
4,55
5,86
5,83
6,93

5,93
5,88
4,69
5,98
5,99
7,97
5,94
4,85
5,76
7,87
3,84
5,55
9,96
6,91
7,74
7,78
3,42
4,95
4,100

4,87
4,98
6,99
4,92
3,59
6,91
5,83
3,65
8,100
7,88
3,81
8,86
3,74
6,85
5,75
4,93
4,90
10,89
7,94

7,90
5,95
4,100
6,85
3,7
7,99
4,59
4,88
5,78
8,98
5,75
5,81
5,84
5,91
7,94
5,62
6,87
3,92
6,86

6,89
4,73
9,92
5,94
5,75
5,79
5,93
4,91
5,97
8,98
5,99
6,100
7,82
3,78
5,95
5,49
4,86
5,76
4,60

5,51
4,90
6,93
6,75
4,58
9,97
6,88
4,94
4,100
4,87
7,60
5,74
5,91
6,95
4,98
6,71
3,96
6,73
6,99

4,75
5,100
5,76
5,85
4,95
7,72
8,70
6,99
5,59
5,79
6,96
3,93
5,71
6,89
5,66
6,86
5,94
6,98
4,78

4,70
5,96
8,95
4,76
8,82
4,60
3,80
8,100
5,54
5,91
3,86
8,99
6,92
3,71
4,89
4,77
7,97
7,84
4,78

7,65
4,98
7,95
4,66
7,99
5,92
4,63
4,93
6,90
7,85
4,94
4,50
4,51
4,82
5,97
8,91
5,100
5,89
6,96

4,92
5,76
5,90
5,83
6,81
4,89
4,78
7,91
6,94
6,88
4,70
4,96
6,95
5,85
4,99
6,61
6,97
7,100
6,98

6,76
4,86
5,97
4,94
7,87
6,100
6,81
5,92
5,84
6,99
6,78
5,95
4,82
3,54
8,96
9,93
3,63
5,98
3,53

6,62
5,95
4,64
3,99
5,96
7,100
4,51
4,89
4,85
4,73
6,97
5,68
4,81
4,88
8,86
5,98
9,91
7,92
6,93

7,86
6,82
4,37
6,76
3,100
5,87
3,90
5,94
3,77
6,72
6,91
3,61
6,92
6,83
7,97
8,93
6,98
6,58
4,99

4,96
4,93
4,97
3,63
7,91
5,71
6,99
9,88
4,81
3,100
4,85
5,84
8,94
8,79
6,76
4,95
5,87
6,92
5,98

5,82
6,77
6,95
4,85
5,84
5,92
6,100
5,97
4,66
4,89
4,90
4,39
6,96
7,88
5,93
7,72
6,99
5,91
6,98

3,100
6,93
8,95
5,99
3,82
4,80
5,92
4,89
5,84
5,86
3,97
6,96
6,94
7,98
5,81
7,69
3,56
9,87
6,61

8,84
4,87
6,88
9,83
5,90
4,99
3,76
5,98
6,97
7,85
4,92
3,79
5,95
4,70
6,78
4,71
6,96
4,54
7,100

4,55
5,99
5,83
5,60
6,96
3,89
8,97
4,66
4,98
8,100
5,78
5,86
3,91
9,68
4,71
5,56
7,90
6,70
4,80

5,89
5,83
12,93
5,96
5,100
5,52
5,69
4,88
6,76
3,97
6,94
7,95
3,80
5,56
4,99
4,62
6,92
4,98
6,75

5,81
4,78
4,72
5,74
5,98
6,89
6,100
5,96
5,53
4,83
3,99
6,85
4,77
5,87
7,95
6,90
6,92
7,82
7,93

9,97
6,80
3,84
5,90
5,58
3,45
6,93
7,85
5,95
3,86
5,98
5,100
8,96
7,99
3,92
4,48
6,88
4,62
6,82

4,53
6,86
6,94
7,98
5,96
4,95
6,100
7,99
5,92
5,63
4,67
4,72
6,97
7,87
4,82
7,91
3,51
4,68
6,80

5,73
8,87
5,94
5,100
8,92
6,96
4,95
4,99
3,88
7,85
7,98
7,81
5,35
4,70
4,53
5,72
3,93
5,97
5,77

3,69
3,81
